category,name,lat,lon
primary_school,The Aldgate School,51.513969,-0.077531
primary_school,Argyle Primary School,51.528748,-0.123908
primary_school,West Hampstead Primary School,51.550679,-0.200173
primary_school,Brecknock Primary School,51.547461,-0.12784
primary_school,Brookfield Primary School,51.563545,-0.144579
primary_school,Edith Neville Primary School,51.532766,-0.131139
primary_school,Fleet Primary School,51.553264,-0.159841
primary_school,Hawley Primary School,51.542646,-0.142834
primary_school,Netley Primary School,51.527545,-0.140435
primary_school,New End Primary School,51.557954,-0.176876
primary_school,Primrose Hill School,51.539507,-0.151354
primary_school,Rhyl Community Primary School,51.547714,-0.150589
primary_school,Richard Cobden Primary School,51.535478,-0.13655
primary_school,Torriano Primary School,51.549672,-0.132841
primary_school,Gospel Oak Primary School,51.555062,-0.151791
primary_school,Fitzjohn's Primary School,51.553397,-0.175861
primary_school,Eleanor Palmer Primary School,51.554635,-0.139013
primary_school,"Christ Church Primary School, Hampstead",51.559555,-0.176307
primary_school,Christ Church School,51.53114,-0.144239
primary_school,Emmanuel Church of England Primary School,51.552351,-0.193645
primary_school,Hampstead Parochial Church of England Primary School,51.55635,-0.179566
primary_school,"Holy Trinity CofE Primary School, NW3",51.546145,-0.177896
primary_school,"Holy Trinity and Saint Silas CofE Primary School, NW1",51.544123,-0.145817
primary_school,Kentish Town Church of England Primary School,51.54972,-0.139271
primary_school,Rosary Catholic Primary School,51.552087,-0.166783
primary_school,St Alban's Church of England Primary School,51.520205,-0.111026
primary_school,St George the Martyr Church of England Primary School,51.522372,-0.116602
primary_school,St Josephs Catholic Primary School,51.516189,-0.121873
primary_school,St Mary's Kilburn Church of England Primary School,51.540368,-0.193355
primary_school,St Mary and St Pancras Church of England Primary School,51.532379,-0.134471
primary_school,St Patrick's Catholic Primary School,51.549275,-0.142924
primary_school,St Paul's Church of England Primary School,51.541667,-0.16289
primary_school,St Eugene de Mazenod Roman Catholic Primary School,51.540968,-0.19375
primary_school,Our Lady Roman Catholic Primary School,51.538865,-0.137479
primary_school,Morden Mount Primary School,51.470078,-0.014511
primary_school,Cherry Orchard Primary School,51.476311,0.032116
primary_school,Ealdham Primary School,51.457367,0.035521
primary_school,Fossdene Primary School,51.484412,0.026988
primary_school,Gordon Primary School,51.458556,0.054503
primary_school,Haimo Primary School,51.45539,0.041637
primary_school,Henwick Primary School,51.462365,0.042855
primary_school,Invicta Primary School,51.478975,0.020569
primary_school,Meridian Primary School,51.483796,-0.001557
primary_school,Plumcroft Primary School,51.477972,0.074371
primary_school,Sherington Primary School,51.480091,0.025688
primary_school,Thorntree Primary School,51.486735,0.041841
primary_school,Wyborne Primary School,51.44009,0.069503
primary_school,Montbelle Primary School,51.427805,0.062445
primary_school,De Lucy Primary School,51.495964,0.111277
primary_school,Cardwell Primary School,51.490426,0.052954
primary_school,Heronsgate Primary School,51.494055,0.082751
primary_school,Linton Mead Primary School,51.507939,0.113013
primary_school,Greenslade Primary School,51.479674,0.086402
primary_school,Mulgrave Primary School,51.48864,0.060955
primary_school,Charlton Manor Primary School,51.477433,0.036875
primary_school,Christ Church Church of England Primary School,51.488139,0.006368
primary_school,"Christ Church Church of England Primary School, Shooters Hill",51.469901,0.06083
primary_school,Eltham Church of England Primary School,51.451651,0.056453
primary_school,Our Lady of Grace Catholic Primary School,51.480774,0.027288
primary_school,St Joseph's Catholic Primary School,51.486395,0.005298
primary_school,St Margaret's Church of England Primary School,51.483413,0.076389
primary_school,Saint Mary Magdalene Church of England All Through School,51.491244,0.061187
